Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
1.6018004417419434	0	21.2708333333	11.2077718261	62.0	9.0	21.2708333333	11.2077718261	1021	1021
2.163522720336914	1	20.6666666667	12.6423915997	73.0	9.0	20.6666666667	12.6423915997	1054	2075
2.6603598594665527	2	21.9130434783	10.371000721	56.0	8.0	21.9130434783	10.371000721	1008	3083
3.091991424560547	3	23.0909090909	17.0518169944	104.0	8.0	23.0909090909	17.0518169944	1016	4099
3.600489616394043	4	20.24	8.14017198836	43.0	9.0	20.24	8.14017198836	1012	5111
3.974480390548706	5	28.2777777778	18.2202742861	76.0	9.0	28.2777777778	18.2202742861	1018	6129
4.3691627979278564	6	21.7826086957	11.0018042858	61.0	10.0	21.7826086957	11.0018042858	1002	7131
4.7389373779296875	7	21.8695652174	10.7189565838	70.0	10.0	21.8695652174	10.7189565838	1006	8137
5.154904127120972	8	20.54	10.9785427084	74.0	9.0	20.54	10.9785427084	1027	9164
5.742424488067627	9	24.0238095238	14.7365565779	93.0	9.0	24.0238095238	14.7365565779	1009	10173
6.776875257492065	10	22.6222222222	10.9712531218	61.0	10.0	22.6222222222	10.9712531218	1018	11191
7.154094934463501	11	24.9268292683	11.849442189	60.0	10.0	24.9268292683	11.849442189	1022	12213
7.527869701385498	12	21.4468085106	7.0704916036	37.0	10.0	21.4468085106	7.0704916036	1008	13221
7.959787845611572	13	25.325	14.2625164329	83.0	10.0	25.325	14.2625164329	1013	14234
8.326818466186523	14	23.4651162791	9.78691303972	46.0	11.0	23.4651162791	9.78691303972	1009	15243
8.894561290740967	15	20.7142857143	10.3785493068	63.0	9.0	20.7142857143	10.3785493068	1015	16258
9.361324310302734	16	24.3636363636	18.4182356636	94.0	9.0	24.3636363636	18.4182356636	1072	17330
9.897581577301025	17	21.25	9.84780009274	58.0	10.0	21.25	9.84780009274	1020	18350
10.276835680007935	18	21.0208333333	10.9420625404	73.0	10.0	21.0208333333	10.9420625404	1009	19359
10.657835006713867	19	26.8157894737	15.3225929906	74.0	9.0	26.8157894737	15.3225929906	1019	20378
12.589879989624023	20	22.2888888889	10.1250453436	60.0	10.0	22.2888888889	10.1250453436	1003	21381
13.011917352676392	21	21.3829787234	9.2219746616	59.0	10.0	21.3829787234	9.2219746616	1005	22386
13.454195976257324	22	21.6382978723	9.52583392656	56.0	9.0	21.6382978723	9.52583392656	1017	23403
14.028593063354492	23	23.5454545455	13.0913825672	65.0	11.0	23.5454545455	13.0913825672	1036	24439
14.725725650787354	24	23.7674418605	13.6957593323	74.0	10.0	23.7674418605	13.6957593323	1022	25461
15.150164604187012	25	21.8260869565	10.7790141274	50.0	8.0	21.8260869565	10.7790141274	1004	26465
15.574927568435669	26	21.9347826087	11.0991620794	65.0	10.0	21.9347826087	11.0991620794	1009	27474
16.030546188354492	27	24.2142857143	9.8983782084	45.0	10.0	24.2142857143	9.8983782084	1017	28491
16.662374258041382	28	20.7142857143	12.9157394883	69.0	9.0	20.7142857143	12.9157394883	1015	29506
17.438385248184204	29	21.847826087	12.2544887806	76.0	10.0	21.847826087	12.2544887806	1005	30511
18.4966561794281	30	22.8181818182	13.0528170545	73.0	10.0	22.8181818182	13.0528170545	1004	31515
18.903983116149902	31	23.8571428571	11.2917404044	63.0	9.0	23.8571428571	11.2917404044	1002	32517
19.306543350219727	32	25.1463414634	11.405092948	57.0	10.0	25.1463414634	11.405092948	1031	33548
19.74774670600891	33	20.9583333333	10.4442135761	64.0	9.0	20.9583333333	10.4442135761	1006	34554
20.159887313842773	34	20.08	11.1010630122	63.0	9.0	20.08	11.1010630122	1004	35558
20.606956005096436	35	21.9166666667	12.0637772784	62.0	10.0	21.9166666667	12.0637772784	1052	36610
21.087061643600464	36	23.3555555556	13.9795971259	62.0	8.0	23.3555555556	13.9795971259	1051	37661
21.51230025291443	37	20.06	9.43485029028	51.0	9.0	20.06	9.43485029028	1003	38664
21.998542070388794	38	22.4222222222	10.6635180538	65.0	10.0	22.4222222222	10.6635180538	1009	39673
22.43963074684143	39	21.0416666667	8.61674322983	44.0	10.0	21.0416666667	8.61674322983	1010	40683
24.10295009613037	40	21.9782608696	8.79597024936	52.0	11.0	21.9782608696	8.79597024936	1011	41694
24.512042760849	41	20.6	9.00888450364	48.0	10.0	20.6	9.00888450364	1030	42724
24.965732097625732	42	20.4489795918	12.9095143279	67.0	8.0	20.4489795918	12.9095143279	1002	43726
25.372202396392822	43	22.1956521739	10.0078655267	55.0	8.0	22.1956521739	10.0078655267	1021	44747
