Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar	loss_
260.69738149642944	0	22.4439461883	11.5679023464	83.0	9.0	22.4439461883	11.5679023464	5005	5005	19.6676
263.09153294563293	1	23.661971831	13.5386183808	85.0	9.0	23.661971831	13.5386183808	5040	10045	21.6871
265.28668093681335	2	23.2175925926	13.6376339909	91.0	9.0	23.2175925926	13.6376339909	5015	15060	21.5456
267.56902384757996	3	24.9653465347	13.5026138697	71.0	9.0	24.9653465347	13.5026138697	5043	20103	22.2045
269.827942609787	4	26.1770833333	14.3628534129	76.0	9.0	26.1770833333	14.3628534129	5026	25129	23.3411
272.2776870727539	5	29.4588235294	18.2872845192	109.0	9.0	29.4588235294	18.2872845192	5008	30137	27.8136
274.60488772392273	6	27.9277777778	17.1396326149	132.0	8.0	27.9277777778	17.1396326149	5027	35164	26.1819
276.7279336452484	7	27.938547486	16.1242251596	129.0	9.0	27.938547486	16.1242251596	5001	40165	25.3673
278.93879199028015	8	29.674556213	16.1118686438	104.0	9.0	29.674556213	16.1118686438	5015	45180	26.0045
281.1281497478485	9	31.425	18.8896631786	136.0	9.0	31.425	18.8896631786	5028	50208	28.8111
539.6796588897705	10	31.9171974522	18.225397616	94.0	10.0	31.9171974522	18.225397616	5011	55219	28.4036
542.1630301475525	11	37.0661764706	25.0664417704	181.0	8.0	37.0661764706	25.0664417704	5041	60260	36.0056
544.4472472667694	12	37.2814814815	20.8801347561	141.0	10.0	37.2814814815	20.8801347561	5033	65293	32.4811
546.6452050209045	13	38.5923076923	22.8912802189	116.0	10.0	38.5923076923	22.8912802189	5017	70310	34.6057
549.0625	14	38.1755725191	27.5186212918	158.0	9.0	38.1755725191	27.5186212918	5001	75311	38.216
552.2810456752777	15	38.1363636364	20.1876697769	127.0	10.0	38.1363636364	20.1876697769	5034	80345	32.0816
556.6099123954773	16	43.224137931	27.6156147131	141.0	10.0	43.224137931	27.6156147131	5014	85359	39.9021
559.3048260211945	17	46.0183486239	27.8360144422	135.0	12.0	46.0183486239	27.8360144422	5016	90375	40.7747
562.812846660614	18	45.6306306306	29.7478677949	170.0	10.0	45.6306306306	29.7478677949	5065	95440	42.2538
565.5658569335938	19	49.7227722772	28.9544260581	159.0	12.0	49.7227722772	28.9544260581	5022	100462	42.956
826.0486843585968	20	52.1770833333	29.4752702814	146.0	12.0	52.1770833333	29.4752702814	5009	105471	44.3951
829.8120582103729	21	51.8556701031	34.9166872021	200.0	10.0	51.8556701031	34.9166872021	5030	110501	48.7158
833.1961715221405	22	54.7826086957	35.7900964219	200.0	10.0	54.7826086957	35.7900964219	5040	115541	49.7996
836.6792888641357	23	49.4019607843	29.6043385148	170.0	12.0	49.4019607843	29.6043385148	5039	120580	42.6274
840.2455043792725	24	55.2087912088	40.091246608	200.0	11.0	55.2087912088	40.091246608	5024	125604	53.0831
843.7435247898102	25	60.3012048193	38.1489581849	200.0	10.0	60.3012048193	38.1489581849	5005	130609	53.2583
847.359875202179	26	65.8289473684	41.6944992453	200.0	11.0	65.8289473684	41.6944992453	5003	135612	57.6376
851.0130004882812	27	68.5205479452	41.4791941868	200.0	15.0	68.5205479452	41.4791941868	5002	140614	58.6071
854.5641014575958	28	75.1641791045	47.4384430714	200.0	11.0	75.1641791045	47.4384430714	5036	145650	65.658
858.1633741855621	29	69.2739726027	41.8353787077	200.0	18.0	69.2739726027	41.8353787077	5057	150707	59.1236
1120.5467598438263	30	75.3582089552	43.2672022532	200.0	18.0	75.3582089552	43.2672022532	5049	155756	61.9274
1123.6969859600067	31	76.7611940299	46.7310787162	200.0	18.0	76.7611940299	46.7310787162	5143	160899	64.821
1126.9214007854462	32	116.76744186	50.781262434	200.0	25.0	116.76744186	50.781262434	5021	165920	84.9089
1130.0386533737183	33	97.3461538462	52.3416603509	200.0	17.0	97.3461538462	52.3416603509	5062	170982	76.7972
1133.0609076023102	34	104.958333333	48.0069258603	200.0	21.0	104.958333333	48.0069258603	5038	176020	77.7222
1136.1472663879395	35	109.086956522	48.0967440311	200.0	23.0	109.086956522	48.0967440311	5018	181038	79.0274
1139.3428404331207	36	109.255319149	51.1782317776	200.0	22.0	109.255319149	51.1782317776	5135	186173	80.6618
1142.6764097213745	37	112.666666667	53.0902795037	200.0	24.0	112.666666667	53.0902795037	5070	191243	82.9852
1146.162171125412	38	121.619047619	50.7223780711	200.0	20.0	121.619047619	50.7223780711	5108	196351	86.2506
1149.2373688220978	39	119.238095238	52.4494357516	200.0	21.0	119.238095238	52.4494357516	5008	201359	85.8821
1415.8733847141266	40	138.162162162	57.1453876096	200.0	33.0	138.162162162	57.1453876096	5112	206471	97.2617
1419.2431585788727	41	114.227272727	52.9248453583	200.0	24.0	114.227272727	52.9248453583	5026	211497	83.0181
1422.626202583313	42	135.675675676	54.808785079	200.0	42.0	135.675675676	54.808785079	5020	216517	93.5527
1425.9867579936981	43	145.257142857	53.58856107	200.0	30.0	145.257142857	53.58856107	5084	221601	98.8621
1429.235579252243	44	142.885714286	52.2902730253	200.0	35.0	142.885714286	52.2902730253	5001	226602	97.2884
1432.5139379501343	45	149.5	42.9981189739	200.0	49.0	149.5	42.9981189739	5083	231685	96.7947
1435.8209192752838	46	160.0625	43.6641568538	200.0	55.0	160.0625	43.6641568538	5122	236807	101.658
1439.263133764267	47	152.823529412	48.8180719841	200.0	59.0	152.823529412	48.8180719841	5196	242003	99.9432
1442.6359264850616	48	158.0625	46.3073546399	200.0	41.0	158.0625	46.3073546399	5058	247061	102.13
1445.923796415329	49	161.677419355	49.4468676047	200.0	47.0	161.677419355	49.4468676047	5012	252073	104.195
1712.4452469348907	50	162.709677419	39.5924345562	200.0	64.0	162.709677419	39.5924345562	5044	257117	102.655
1715.7114744186401	51	166.129032258	43.5554832928	200.0	54.0	166.129032258	43.5554832928	5150	262267	105.272
1718.660843372345	52	176.655172414	37.9257676594	200.0	82.0	176.655172414	37.9257676594	5123	267390	107.887
