Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
2.644653558731079	0	18.9245283019	8.69580045379	57.0	10.0	18.9245283019	8.69580045379	1003	1003
3.683897018432617	1	21.625	11.3130179439	60.0	8.0	21.625	11.3130179439	1038	2041
4.255105018615723	2	22.2608695652	10.7510055801	50.0	9.0	22.2608695652	10.7510055801	1024	3065
5.114271879196167	3	24.0952380952	12.5599695249	67.0	10.0	24.0952380952	12.5599695249	1012	4077
5.71709942817688	4	22.4	11.513084344	64.0	10.0	22.4	11.513084344	1008	5085
6.362466096878052	5	21.5531914894	11.1141246354	61.0	9.0	21.5531914894	11.1141246354	1013	6098
6.971669673919678	6	24.5853658537	12.2752489613	61.0	11.0	24.5853658537	12.2752489613	1008	7106
7.718109369277954	7	21.9347826087	11.413954415	71.0	10.0	21.9347826087	11.413954415	1009	8115
8.436363458633423	8	27.4054054054	14.7583406733	68.0	10.0	27.4054054054	14.7583406733	1014	9129
9.166062355041504	9	20.1	7.72851861614	45.0	10.0	20.1	7.72851861614	1005	10134
11.042193174362183	10	25.45	14.138511237	66.0	9.0	25.45	14.138511237	1018	11152
11.821285009384155	11	22.0217391304	9.27710864448	48.0	9.0	22.0217391304	9.27710864448	1013	12165
12.391871929168701	12	21.0	11.04158805	55.0	9.0	21.0	11.04158805	1008	13173
12.992412567138672	13	23.4418604651	11.6864109627	56.0	9.0	23.4418604651	11.6864109627	1008	14181
13.822212934494019	14	21.0625	8.97776477842	50.0	9.0	21.0625	8.97776477842	1011	15192
14.676515340805054	15	25.225	15.5410545009	94.0	10.0	25.225	15.5410545009	1009	16201
