Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
89.96132159233093	0	31.7272727273	16.4266463633	72.0	11.0	31.7272727273	16.4266463633	1047	1047
91.20045351982117	1	25.2	12.5622450223	67.0	11.0	25.2	12.5622450223	1008	2055
92.07383966445923	2	26.4736842105	11.4793563961	58.0	10.0	26.4736842105	11.4793563961	1006	3061
92.86145782470703	3	28.6944444444	14.3523506484	65.0	9.0	28.6944444444	14.3523506484	1033	4094
93.94624018669128	4	31.75	17.131841699	97.0	12.0	31.75	17.131841699	1016	5110
94.4942455291748	5	29.5833333333	16.1440993693	72.0	10.0	29.5833333333	16.1440993693	1065	6175
95.02505445480347	6	27.1891891892	19.2295350506	104.0	10.0	27.1891891892	19.2295350506	1006	7181
96.06008434295654	7	27.8333333333	19.2216602358	99.0	8.0	27.8333333333	19.2216602358	1002	8183
96.96429777145386	8	30.5588235294	17.6171560375	78.0	11.0	30.5588235294	17.6171560375	1039	9222
97.76553893089294	9	28.8857142857	14.2523610647	66.0	10.0	28.8857142857	14.2523610647	1011	10233
157.0757873058319	10	25.25	13.6046866925	64.0	10.0	25.25	13.6046866925	1010	11243
157.90704679489136	11	31.59375	14.8804808705	64.0	10.0	31.59375	14.8804808705	1011	12254
159.0264117717743	12	27.6153846154	17.2724998334	87.0	9.0	27.6153846154	17.2724998334	1077	13331
160.06153631210327	13	33.8	17.5069510005	75.0	9.0	33.8	17.5069510005	1014	14345
161.21175575256348	14	39.6538461538	31.6676762011	127.0	10.0	39.6538461538	31.6676762011	1031	15376
161.84244012832642	15	32.84375	18.1178595849	80.0	11.0	32.84375	18.1178595849	1051	16427
162.55342841148376	16	28.6857142857	15.0423619509	79.0	11.0	28.6857142857	15.0423619509	1004	17431
163.13016891479492	17	31.75	15.072740295	66.0	10.0	31.75	15.072740295	1016	18447
163.7455325126648	18	33.4838709677	21.9704654652	109.0	12.0	33.4838709677	21.9704654652	1038	19485
164.29569721221924	19	28.6571428571	15.3566046417	74.0	10.0	28.6571428571	15.3566046417	1003	20488
224.77773237228394	20	29.4857142857	14.0129968826	61.0	12.0	29.4857142857	14.0129968826	1032	21520
225.72644686698914	21	35.4827586207	18.3483921867	86.0	11.0	35.4827586207	18.3483921867	1029	22549
226.4213833808899	22	35.4137931034	24.8047787962	119.0	11.0	35.4137931034	24.8047787962	1027	23576
227.20651865005493	23	36.1071428571	21.0464440256	86.0	12.0	36.1071428571	21.0464440256	1011	24587
228.07507157325745	24	33.7	23.4948930621	116.0	12.0	33.7	23.4948930621	1011	25598
228.74694514274597	25	33.7666666667	23.2918917699	128.0	11.0	33.7666666667	23.2918917699	1013	26611
229.2887740135193	26	30.4242424242	18.6255450244	83.0	13.0	30.4242424242	18.6255450244	1004	27615
230.27761697769165	27	38.8461538462	32.2677408659	151.0	11.0	38.8461538462	32.2677408659	1010	28625
231.19422578811646	28	35.75	18.6291342487	93.0	12.0	35.75	18.6291342487	1001	29626
232.12235736846924	29	32.71875	16.2427567992	83.0	11.0	32.71875	16.2427567992	1047	30673
294.1031777858734	30	35.0666666667	16.2663934403	81.0	11.0	35.0666666667	16.2663934403	1052	31725
295.3366963863373	31	36.8928571429	18.9592406526	85.0	13.0	36.8928571429	18.9592406526	1033	32758
296.10655641555786	32	29.9411764706	16.4976668163	76.0	13.0	29.9411764706	16.4976668163	1018	33776
296.9830892086029	33	29.6571428571	15.3900577501	71.0	10.0	29.6571428571	15.3900577501	1038	34814
297.6572515964508	34	31.8787878788	17.6081206743	96.0	13.0	31.8787878788	17.6081206743	1052	35866
298.1809458732605	35	37.1851851852	26.0214114643	114.0	11.0	37.1851851852	26.0214114643	1004	36870
298.8899881839752	36	38.3333333333	27.883354918	135.0	13.0	38.3333333333	27.883354918	1035	37905
299.44123458862305	37	30.2352941176	18.1319653124	94.0	13.0	30.2352941176	18.1319653124	1028	38933
300.02397322654724	38	31.1818181818	13.6924100751	70.0	11.0	31.1818181818	13.6924100751	1029	39962
300.5478928089142	39	32.5806451613	16.1859640381	82.0	13.0	32.5806451613	16.1859640381	1010	40972
360.47019505500793	40	35.4482758621	19.2059369537	82.0	14.0	35.4482758621	19.2059369537	1028	42000
361.15166783332825	41	34.7586206897	20.7591362062	108.0	11.0	34.7586206897	20.7591362062	1008	43008
361.91763377189636	42	30.1714285714	16.6621653785	76.0	13.0	30.1714285714	16.6621653785	1056	44064
362.46815824508667	43	39.5769230769	28.3239136215	111.0	12.0	39.5769230769	28.3239136215	1029	45093
363.12668657302856	44	32.7741935484	20.5296161795	75.0	11.0	32.7741935484	20.5296161795	1016	46109
364.0553562641144	45	34.724137931	20.5894123306	92.0	13.0	34.724137931	20.5894123306	1007	47116
364.6550760269165	46	39.2307692308	27.5322296344	122.0	11.0	39.2307692308	27.5322296344	1020	48136
365.2323112487793	47	36.1071428571	17.8372389073	84.0	15.0	36.1071428571	17.8372389073	1011	49147
365.97644114494324	48	38.8461538462	27.1940212712	152.0	11.0	38.8461538462	27.1940212712	1010	50157
366.67059087753296	49	33.7	25.5996744771	147.0	12.0	33.7	25.5996744771	1011	51168
427.2096457481384	50	33.8666666667	14.9927389833	65.0	14.0	33.8666666667	14.9927389833	1016	52184
427.9362418651581	51	32.6774193548	18.2551576393	77.0	12.0	32.6774193548	18.2551576393	1013	53197
428.70549416542053	52	36.8928571429	28.7555451618	146.0	13.0	36.8928571429	28.7555451618	1033	54230
429.5696840286255	53	31.71875	16.3902302741	82.0	10.0	31.71875	16.3902302741	1015	55245
430.41189074516296	54	33.064516129	13.4282693715	70.0	15.0	33.064516129	13.4282693715	1025	56270
431.5918462276459	55	36.8214285714	19.9159906526	85.0	12.0	36.8214285714	19.9159906526	1031	57301
432.2003982067108	56	31.1515151515	14.4224597829	72.0	11.0	31.1515151515	14.4224597829	1028	58329
433.0609230995178	57	37.4074074074	21.5600097218	88.0	11.0	37.4074074074	21.5600097218	1010	59339
433.55651473999023	58	36.3928571429	27.6332347593	121.0	10.0	36.3928571429	27.6332347593	1019	60358
434.1307485103607	59	37.4444444444	26.0090202776	113.0	11.0	37.4444444444	26.0090202776	1011	61369
494.91152691841125	60	41.4	23.7469998105	112.0	13.0	41.4	23.7469998105	1035	62404
495.94532775878906	61	35.7857142857	29.2542513917	123.0	10.0	35.7857142857	29.2542513917	1002	63406
496.68896102905273	62	25.9487179487	11.6705826057	60.0	11.0	25.9487179487	11.6705826057	1012	64418
497.2964332103729	63	42.875	20.4008016591	92.0	15.0	42.875	20.4008016591	1029	65447
498.2177686691284	64	38.5769230769	26.4374051399	107.0	12.0	38.5769230769	26.4374051399	1003	66450
498.91675782203674	65	42.4166666667	22.0773576821	89.0	16.0	42.4166666667	22.0773576821	1018	67468
500.06323051452637	66	34.724137931	21.8898442075	109.0	11.0	34.724137931	21.8898442075	1007	68475
500.8821847438812	67	40.88	30.6937387752	153.0	13.0	40.88	30.6937387752	1022	69497
501.79684567451477	68	42.0	38.0704609901	200.0	12.0	42.0	38.0704609901	1050	70547
502.75783133506775	69	41.64	26.1761418089	109.0	11.0	41.64	26.1761418089	1041	71588
564.211507320404	70	44.9565217391	25.0329839123	127.0	15.0	44.9565217391	25.0329839123	1034	72622
565.1102435588837	71	38.5769230769	18.1111378331	80.0	13.0	38.5769230769	18.1111378331	1003	73625
565.7593529224396	72	34.5172413793	14.6702154032	63.0	13.0	34.5172413793	14.6702154032	1001	74626
566.3154442310333	73	38.8461538462	26.6468244719	141.0	12.0	38.8461538462	26.6468244719	1010	75636
567.0613615512848	74	31.75	16.1767580188	77.0	12.0	31.75	16.1767580188	1016	76652
567.908595085144	75	28.8285714286	15.6250453061	98.0	10.0	28.8285714286	15.6250453061	1009	77661
568.6356191635132	76	34.724137931	24.3124723941	86.0	9.0	34.724137931	24.3124723941	1007	78668
569.5467782020569	77	35.8928571429	25.1415127481	103.0	13.0	35.8928571429	25.1415127481	1005	79673
570.1237444877625	78	35.8571428571	14.5325110546	73.0	17.0	35.8571428571	14.5325110546	1004	80677
570.7221910953522	79	35.5517241379	18.0030384541	95.0	11.0	35.5517241379	18.0030384541	1031	81708
632.3036725521088	80	38.962962963	15.7843839413	80.0	14.0	38.962962963	15.7843839413	1052	82760
633.2029600143433	81	37.7037037037	22.1239183704	100.0	11.0	37.7037037037	22.1239183704	1018	83778
634.1123247146606	82	35.1333333333	23.4431700549	104.0	9.0	35.1333333333	23.4431700549	1054	84832
634.8652694225311	83	30.4117647059	14.6229425844	71.0	12.0	30.4117647059	14.6229425844	1034	85866
635.442013502121	84	35.3333333333	16.8509808485	81.0	13.0	35.3333333333	16.8509808485	1060	86926
636.0169081687927	85	47.1363636364	32.9535423045	159.0	13.0	47.1363636364	32.9535423045	1037	87963
637.0103094577789	86	36.0	24.1246761636	104.0	12.0	36.0	24.1246761636	1044	89007
637.8744659423828	87	34.6206896552	22.1770521238	130.0	12.0	34.6206896552	22.1770521238	1004	90011
639.0499849319458	88	40.76	23.8113922315	102.0	12.0	40.76	23.8113922315	1019	91030
639.8835508823395	89	39.7307692308	24.0760936205	100.0	14.0	39.7307692308	24.0760936205	1033	92063
