Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar	loss_
1.9282243251800537	0	20.7959183673	10.2955896875	50.0	9.0	20.7959183673	10.2955896875	1019	1019	0.690184
2.989375114440918	1	21.8260869565	9.76307227978	42.0	9.0	21.8260869565	9.76307227978	1004	2023	0.691916
3.494124412536621	2	22.3043478261	11.494553654	54.0	9.0	22.3043478261	11.494553654	1026	3049	0.69324
4.1325883865356445	3	23.5	14.6977116339	75.0	9.0	23.5	14.6977116339	1034	4083	0.693217
4.649024248123169	4	20.6734693878	7.78640299733	44.0	10.0	20.6734693878	7.78640299733	1013	5096	0.69316
5.124157667160034	5	22.8181818182	12.049656214	65.0	11.0	22.8181818182	12.049656214	1004	6100	0.693064
5.504022598266602	6	24.8333333333	11.5715510478	59.0	10.0	24.8333333333	11.5715510478	1043	7143	0.693031
6.015525579452515	7	19.3653846154	7.0820163528	43.0	10.0	19.3653846154	7.0820163528	1007	8150	0.69316
6.667003154754639	8	25.675	11.9465214602	54.0	10.0	25.675	11.9465214602	1027	9177	0.693102
7.102176904678345	9	20.612244898	11.3655697874	71.0	10.0	20.612244898	11.3655697874	1010	10187	0.69302
8.913135528564453	10	21.7234042553	11.2376686604	69.0	10.0	21.7234042553	11.2376686604	1021	11208	0.693146
9.33332633972168	11	23.3255813953	12.1592551222	67.0	8.0	23.3255813953	12.1592551222	1003	12211	0.693374
9.737033605575562	12	21.6382978723	8.95003989511	48.0	9.0	21.6382978723	8.95003989511	1017	13228	0.693166
10.128209590911865	13	20.4	11.2995575135	81.0	9.0	20.4	11.2995575135	1020	14248	0.692933
10.553969621658325	14	18.9245283019	8.68494480621	54.0	10.0	18.9245283019	8.68494480621	1003	15251	0.693071
10.954147100448608	15	21.3829787234	13.8879301515	69.0	9.0	21.3829787234	13.8879301515	1005	16256	0.69289
11.335461854934692	16	22.7954545455	12.1703431367	67.0	9.0	22.7954545455	12.1703431367	1003	17259	0.69293
11.728181838989258	17	21.1041666667	10.4706725017	47.0	9.0	21.1041666667	10.4706725017	1013	18272	0.693444
12.15231728553772	18	24.6097560976	13.2754643459	85.0	9.0	24.6097560976	13.2754643459	1009	19281	0.693216
12.56012487411499	19	22.8636363636	13.5337808147	64.0	10.0	22.8636363636	13.5337808147	1006	20287	0.692961
14.32055950164795	20	21.8695652174	9.7034478311	54.0	9.0	21.8695652174	9.7034478311	1006	21293	0.693549
14.687812805175781	21	22.8636363636	13.3715962688	64.0	10.0	22.8636363636	13.3715962688	1006	22299	0.693269
15.097083806991577	22	21.3333333333	10.6072564261	60.0	10.0	21.3333333333	10.6072564261	1024	23323	0.693025
15.494154930114746	23	22.3555555556	11.4564985063	59.0	10.0	22.3555555556	11.4564985063	1006	24329	0.693216
15.881826162338257	24	20.6326530612	9.04116183059	45.0	11.0	20.6326530612	9.04116183059	1011	25340	0.693139
16.270981788635254	25	25.8974358974	14.2104960699	91.0	10.0	25.8974358974	14.2104960699	1010	26350	0.69315
16.6352698802948	26	20.4897959184	9.92445433442	55.0	9.0	20.4897959184	9.92445433442	1004	27354	0.693146
17.05307412147522	27	22.4222222222	10.6447459943	51.0	9.0	22.4222222222	10.6447459943	1009	28363	0.693146
17.441572666168213	28	22.7727272727	11.4650925468	56.0	9.0	22.7727272727	11.4650925468	1002	29365	0.693146
17.842495918273926	29	20.24	10.4719816654	61.0	9.0	20.24	10.4719816654	1012	30377	0.693146
19.97357940673828	30	23.0	11.3357840488	54.0	9.0	23.0	11.3357840488	1012	31389	0.693146
20.838606357574463	31	22.4666666667	10.2167618266	52.0	10.0	22.4666666667	10.2167618266	1011	32400	0.693146
21.37344980239868	32	21.2708333333	10.061766709	47.0	10.0	21.2708333333	10.061766709	1021	33421	0.693146
21.76548719406128	33	22.1086956522	11.7902470027	62.0	9.0	22.1086956522	11.7902470027	1017	34438	0.693146
22.221741437911987	34	22.3333333333	9.40449065311	54.0	10.0	22.3333333333	9.40449065311	1005	35443	0.693146
22.718122959136963	35	20.7959183673	10.3785091766	50.0	9.0	20.7959183673	10.3785091766	1019	36462	0.693146
23.10786509513855	36	19.3269230769	9.18971237904	44.0	9.0	19.3269230769	9.18971237904	1005	37467	0.693146
23.521028518676758	37	20.2	9.58331884057	63.0	8.0	20.2	9.58331884057	1010	38477	0.693146
23.96533751487732	38	25.9487179487	15.9244187882	91.0	10.0	25.9487179487	15.9244187882	1012	39489	0.693146
24.343401432037354	39	24.4146341463	15.0348791388	85.0	10.0	24.4146341463	15.0348791388	1001	40490	0.693146
25.756307125091553	40	22.3043478261	14.9359059131	102.0	8.0	22.3043478261	14.9359059131	1026	41516	0.693146
26.184613704681396	41	21.3829787234	8.96222139895	44.0	9.0	21.3829787234	8.96222139895	1005	42521	0.693146
26.634556770324707	42	19.4038461538	8.66305066045	53.0	9.0	19.4038461538	8.66305066045	1009	43530	0.693146
27.122408866882324	43	20.0784313725	12.0519189543	69.0	9.0	20.0784313725	12.0519189543	1024	44554	0.693146
27.568833112716675	44	21.0833333333	13.6119330818	78.0	9.0	21.0833333333	13.6119330818	1012	45566	0.693146
27.988436222076416	45	22.8863636364	11.3241815058	61.0	10.0	22.8863636364	11.3241815058	1007	46573	0.693146
28.38394784927368	46	22.9090909091	8.91326432861	47.0	12.0	22.9090909091	8.91326432861	1008	47581	0.693146
28.763994693756104	47	22.2444444444	11.363011251	66.0	9.0	22.2444444444	11.363011251	1001	48582	0.693146
