Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
52.20594930648804	0	21.7608695652	12.7384812121	67.0	9.0	21.7608695652	12.7384812121	1001	1001
52.83620643615723	1	20.1730769231	10.4545189969	55.0	10.0	20.1730769231	10.4545189969	1049	2050
53.402925968170166	2	27.1621621622	12.0326436931	61.0	11.0	27.1621621622	12.0326436931	1005	3055
54.02497863769531	3	26.5	13.6935443876	72.0	10.0	26.5	13.6935443876	1007	4062
54.60799765586853	4	20.6326530612	9.47325747813	48.0	9.0	20.6326530612	9.47325747813	1011	5073
55.20081925392151	5	19.5769230769	9.01781602813	45.0	9.0	19.5769230769	9.01781602813	1018	6091
55.8367063999176	6	21.2291666667	7.88785876979	46.0	12.0	21.2291666667	7.88785876979	1019	7110
56.40365767478943	7	25.05	11.1712801415	52.0	10.0	25.05	11.1712801415	1002	8112
57.02246451377869	8	24.0697674419	14.4050949463	80.0	9.0	24.0697674419	14.4050949463	1035	9147
57.59595823287964	9	20.4693877551	8.84815682597	49.0	8.0	20.4693877551	8.84815682597	1003	10150
112.8806369304657	10	23.488372093	11.0902682942	52.0	9.0	23.488372093	11.0902682942	1010	11160
113.76332998275757	11	25.325	13.2086855894	67.0	10.0	25.325	13.2086855894	1013	12173
114.8546314239502	12	21.0625	12.7433091104	67.0	9.0	21.0625	12.7433091104	1011	13184
115.68327927589417	13	23.4651162791	16.4038407828	111.0	9.0	23.4651162791	16.4038407828	1009	14193
116.3028872013092	14	21.8367346939	14.2518841415	93.0	9.0	21.8367346939	14.2518841415	1070	15263
117.09423923492432	15	23.25	11.3320242114	67.0	9.0	23.25	11.3320242114	1023	16286
117.80049180984497	16	28.7142857143	13.7810873064	66.0	10.0	28.7142857143	13.7810873064	1005	17291
118.4645676612854	17	22.3333333333	11.3431330181	55.0	8.0	22.3333333333	11.3431330181	1005	18296
119.09222602844238	18	23.2045454545	10.4219600875	50.0	10.0	23.2045454545	10.4219600875	1021	19317
119.75385451316833	19	23.6046511628	15.3534172166	80.0	9.0	23.6046511628	15.3534172166	1015	20332
