Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
1.673340082168579	0	21.0408163265	12.3667744193	72.0	10.0	21.0408163265	12.3667744193	1031	1031
2.0987000465393066	1	19.9019607843	10.0902882875	55.0	9.0	19.9019607843	10.0902882875	1015	2046
2.4968197345733643	2	22.5333333333	11.4864170992	64.0	9.0	22.5333333333	11.4864170992	1014	3060
2.911710500717163	3	22.3333333333	15.7874774567	110.0	9.0	22.3333333333	15.7874774567	1005	4065
3.3147621154785156	4	22.3555555556	14.497747803	75.0	9.0	22.3555555556	14.497747803	1006	5071
3.6863603591918945	5	22.0217391304	12.2287777669	62.0	9.0	22.0217391304	12.2287777669	1013	6084
4.074282169342041	6	24.2857142857	13.6316957585	72.0	10.0	24.2857142857	13.6316957585	1020	7104
4.490795612335205	7	22.9130434783	10.3100332875	62.0	10.0	22.9130434783	10.3100332875	1054	8158
4.875334739685059	8	22.9545454545	10.8081504293	59.0	10.0	22.9545454545	10.8081504293	1010	9168
5.283723592758179	9	20.16	9.05397150426	53.0	9.0	20.16	9.05397150426	1008	10176
6.759267807006836	10	22.4666666667	13.049648782	73.0	11.0	22.4666666667	13.049648782	1011	11187
7.147062540054321	11	21.7608695652	11.468643039	54.0	9.0	21.7608695652	11.468643039	1001	12188
7.557816982269287	12	22.5531914894	14.9748846628	71.0	9.0	22.5531914894	14.9748846628	1060	13248
7.9533867835998535	13	22.6666666667	11.6045967904	61.0	9.0	22.6666666667	11.6045967904	1020	14268
8.344131469726562	14	22.7727272727	11.3974950126	65.0	8.0	22.7727272727	11.3974950126	1002	15270
8.736415147781372	15	22.2444444444	14.777092716	85.0	9.0	22.2444444444	14.777092716	1001	16271
9.11570954322815	16	23.9761904762	11.7685782109	69.0	9.0	23.9761904762	11.7685782109	1007	17278
9.482335090637207	17	18.5555555556	7.84966776052	46.0	9.0	18.5555555556	7.84966776052	1002	18280
9.854624271392822	18	20.5510204082	8.85267450534	55.0	10.0	20.5510204082	8.85267450534	1007	19287
10.267266511917114	19	22.3333333333	12.3540366772	55.0	9.0	22.3333333333	12.3540366772	1005	20292
11.19446873664856	20	24.3333333333	14.3355480017	78.0	8.0	24.3333333333	14.3355480017	1022	21314
11.588606119155884	21	20.4897959184	6.91382067202	47.0	10.0	20.4897959184	6.91382067202	1004	22318
11.948923110961914	22	22.9318181818	12.4979957071	73.0	9.0	22.9318181818	12.4979957071	1009	23327
12.325747728347778	23	22.3777777778	14.5789633664	82.0	9.0	22.3777777778	14.5789633664	1007	24334
12.683393001556396	24	22.2444444444	10.1284101101	49.0	9.0	22.2444444444	10.1284101101	1001	25335
13.030049085617065	25	23.4186046512	14.2261347414	62.0	9.0	23.4186046512	14.2261347414	1007	26342
13.455318450927734	26	23.2045454545	9.21110877112	48.0	10.0	23.2045454545	9.21110877112	1021	27363
13.84343147277832	27	23.1590909091	12.5098927795	67.0	10.0	23.1590909091	12.5098927795	1019	28382
14.341155052185059	28	21.1041666667	9.09954115907	48.0	8.0	21.1041666667	9.09954115907	1013	29395
14.794201374053955	29	23.0909090909	11.9293720436	78.0	11.0	23.0909090909	11.9293720436	1016	30411
16.811397790908813	30	19.7884615385	7.40149812918	37.0	9.0	19.7884615385	7.40149812918	1029	31440
17.243802309036255	31	26.6052631579	18.8617399902	100.0	9.0	26.6052631579	18.8617399902	1011	32451
17.797572374343872	32	21.3191489362	11.3345759533	62.0	9.0	21.3191489362	11.3345759533	1002	33453
18.231999397277832	33	21.3191489362	12.3393616563	88.0	9.0	21.3191489362	12.3393616563	1002	34455
18.6220805644989	34	20.5918367347	8.42231818238	49.0	8.0	20.5918367347	8.42231818238	1009	35464
19.089067459106445	35	22.0	16.1889880268	87.0	10.0	22.0	16.1889880268	1056	36520
19.527703046798706	36	20.06	7.9810024433	42.0	10.0	20.06	7.9810024433	1003	37523
19.941983699798584	37	21.7872340426	10.5163220053	57.0	10.0	21.7872340426	10.5163220053	1024	38547
20.34861135482788	38	23.2045454545	14.2247855799	92.0	12.0	23.2045454545	14.2247855799	1021	39568
20.771342992782593	39	21.5416666667	10.2773179327	58.0	10.0	21.5416666667	10.2773179327	1034	40602
22.15563201904297	40	24.4146341463	10.4133488668	50.0	10.0	24.4146341463	10.4133488668	1001	41603
22.609880447387695	41	20.693877551	12.3159165006	65.0	9.0	20.693877551	12.3159165006	1014	42617
23.04986047744751	42	19.3846153846	8.34163294785	55.0	10.0	19.3846153846	8.34163294785	1008	43625
23.424564599990845	43	22.4666666667	10.0655628534	61.0	10.0	22.4666666667	10.0655628534	1011	44636
