Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
0.33383774757385254	0	42.4583333333	23.2360696021	107.0	12.0	42.4583333333	23.2360696021	1019	1019
0.5474421977996826	1	48.1904761905	30.881677489	151.0	15.0	48.1904761905	30.881677489	1012	2031
0.7400133609771729	2	50.05	30.7107066021	136.0	15.0	50.05	30.7107066021	1001	3032
0.9306759834289551	3	43.5416666667	26.2297210029	119.0	13.0	43.5416666667	26.2297210029	1045	4077
1.1168301105499268	4	68.3333333333	38.6775846655	147.0	18.0	68.3333333333	38.6775846655	1025	5102
1.3129396438598633	5	59.5294117647	43.7427206005	200.0	15.0	59.5294117647	43.7427206005	1012	6114
1.512864112854004	6	58.2777777778	28.7437056985	124.0	20.0	58.2777777778	28.7437056985	1049	7163
1.7043323516845703	7	65.5	36.0659118837	138.0	21.0	65.5	36.0659118837	1048	8211
1.8904263973236084	8	91.3636363636	38.4903121867	158.0	31.0	91.3636363636	38.4903121867	1005	9216
2.0923171043395996	9	69.6666666667	34.2143569605	136.0	21.0	69.6666666667	34.2143569605	1045	10261
2.2855522632598877	10	79.6153846154	44.7068028923	200.0	20.0	79.6153846154	44.7068028923	1035	11296
2.471675157546997	11	73.7142857143	50.2485658238	200.0	23.0	73.7142857143	50.2485658238	1032	12328
2.6561391353607178	12	85.8333333333	54.5784348947	191.0	21.0	85.8333333333	54.5784348947	1030	13358
2.8564085960388184	13	82.5384615385	33.5779583945	126.0	22.0	82.5384615385	33.5779583945	1073	14431
3.069342613220215	14	103.909090909	57.3624117432	200.0	19.0	103.909090909	57.3624117432	1143	15574
3.269538640975952	15	109.5	58.0779648404	200.0	23.0	109.5	58.0779648404	1095	16669
3.4662671089172363	16	111.9	48.7348950958	200.0	17.0	111.9	48.7348950958	1119	17788
3.6361565589904785	17	128.375	55.9105032619	200.0	23.0	128.375	55.9105032619	1027	18815
3.8080830574035645	18	94.5454545455	47.8090208992	200.0	35.0	94.5454545455	47.8090208992	1040	19855
3.9878664016723633	19	131.5	52.9504485345	200.0	43.0	131.5	52.9504485345	1052	20907
4.1623148918151855	20	80.0769230769	35.0196901503	141.0	22.0	80.0769230769	35.0196901503	1041	21948
4.315020799636841	21	146.285714286	34.77977362	200.0	111.0	146.285714286	34.77977362	1024	22972
4.49340033531189	22	122.888888889	46.5890889574	200.0	67.0	122.888888889	46.5890889574	1106	24078
4.669275522232056	23	93.0909090909	67.8426716689	200.0	26.0	93.0909090909	67.8426716689	1024	25102
4.868102073669434	24	128.777777778	59.9699513234	200.0	33.0	128.777777778	59.9699513234	1159	26261
5.034178733825684	25	112.777777778	57.1893109239	200.0	24.0	112.777777778	57.1893109239	1015	27276
5.194182395935059	26	143.857142857	57.6056261425	200.0	43.0	143.857142857	57.6056261425	1007	28283
5.366546392440796	27	150.571428571	61.2439084851	200.0	42.0	150.571428571	61.2439084851	1054	29337
5.572530508041382	28	189.5	22.5960911074	200.0	139.0	189.5	22.5960911074	1137	30474
5.76396107673645	29	146.285714286	55.1794845047	200.0	45.0	146.285714286	55.1794845047	1024	31498
5.977035045623779	30	167.571428571	31.0614926642	200.0	125.0	167.571428571	31.0614926642	1173	32671
6.175135374069214	31	147.857142857	36.0770151261	200.0	93.0	147.857142857	36.0770151261	1035	33706
6.381922483444214	32	146.571428571	65.3055612221	200.0	24.0	146.571428571	65.3055612221	1026	34732
6.6158788204193115	33	149.5	55.5855196971	200.0	38.0	149.5	55.5855196971	1196	35928
6.823270797729492	34	129.0	62.5999201277	200.0	30.0	129.0	62.5999201277	1032	36960
