Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar	loss_
55.12111520767212	0	20.4285714286	10.8232553856	60.0	8.0	20.4285714286	10.8232553856	1001	1001	0.694008
55.42108082771301	1	21.9347826087	13.0574019886	67.0	8.0	21.9347826087	13.0574019886	1009	2010	0.692866
55.64473509788513	2	22.347826087	15.1588937753	94.0	10.0	22.347826087	15.1588937753	1028	3038	0.69323
55.864205837249756	3	20.5918367347	10.1215437383	53.0	9.0	20.5918367347	10.1215437383	1009	4047	0.693146
56.08407974243164	4	22.3777777778	11.7213743769	74.0	11.0	22.3777777778	11.7213743769	1007	5054	0.693104
56.317307233810425	5	21.9565217391	12.9932365713	61.0	8.0	21.9565217391	12.9932365713	1010	6064	0.693151
56.54076910018921	6	22.4666666667	10.1709826904	48.0	9.0	22.4666666667	10.1709826904	1011	7075	0.693123
56.77971816062927	7	22.9777777778	11.1384995776	61.0	10.0	22.9777777778	11.1384995776	1034	8109	0.69322
57.0125048160553	8	23.8333333333	13.5504641753	79.0	9.0	23.8333333333	13.5504641753	1001	9110	0.693153
57.26279139518738	9	20.0576923077	11.0843157756	65.0	9.0	20.0576923077	11.0843157756	1043	10153	0.693159
111.31079936027527	10	23.1818181818	11.9777686632	63.0	10.0	23.1818181818	11.9777686632	1020	11173	0.693135
111.52875256538391	11	21.5957446809	11.4048507307	55.0	10.0	21.5957446809	11.4048507307	1015	12188	0.693038
111.85584497451782	12	21.8936170213	11.441310077	64.0	9.0	21.8936170213	11.441310077	1029	13217	0.693048
112.07886743545532	13	25.7	14.5141310453	75.0	10.0	25.7	14.5141310453	1028	14245	0.693093
112.31017780303955	14	24.0	15.1735986252	67.0	10.0	24.0	15.1735986252	1008	15253	0.692516
112.55441951751709	15	22.8863636364	9.07347760607	47.0	10.0	22.8863636364	9.07347760607	1007	16260	0.693184
112.79194188117981	16	23.880952381	11.1594554846	49.0	9.0	23.880952381	11.1594554846	1003	17263	0.693144
113.03268766403198	17	20.6530612245	10.7315119052	52.0	8.0	20.6530612245	10.7315119052	1012	18275	0.692439
113.27787685394287	18	21.9782608696	15.8463946392	108.0	10.0	21.9782608696	15.8463946392	1011	19286	0.692441
113.49469804763794	19	19.2884615385	10.2080973486	65.0	9.0	19.2884615385	10.2080973486	1003	20289	0.69291
167.03960013389587	20	21.0833333333	12.029189037	74.0	11.0	21.0833333333	12.029189037	1012	21301	0.69249
167.27722692489624	21	23.3488372093	9.9927502114	48.0	9.0	23.3488372093	9.9927502114	1004	22305	0.69311
167.50023126602173	22	24.5	15.7150973816	81.0	11.0	24.5	15.7150973816	1029	23334	0.686968
167.72180557250977	23	21.8510638298	9.52260183336	49.0	10.0	21.8510638298	9.52260183336	1027	24361	0.693759
167.9392237663269	24	20.9166666667	11.1986482319	81.0	11.0	20.9166666667	11.1986482319	1004	25365	0.6928
168.155513048172	25	24.6585365854	12.717588658	67.0	9.0	24.6585365854	12.717588658	1011	26376	0.693467
168.37216091156006	26	21.4893617021	11.725354126	63.0	8.0	21.4893617021	11.725354126	1010	27386	0.69478
168.59391593933105	27	21.5106382979	10.5747035378	47.0	8.0	21.5106382979	10.5747035378	1011	28397	0.692508
168.82176852226257	28	22.5777777778	13.933953557	79.0	8.0	22.5777777778	13.933953557	1016	29413	0.691376
169.04411506652832	29	22.5333333333	14.2884568796	70.0	9.0	22.5333333333	14.2884568796	1014	30427	0.693142
222.8840570449829	30	21.1875	13.0314623284	66.0	9.0	21.1875	13.0314623284	1017	31444	0.69265
223.12090682983398	31	23.4186046512	11.3326705286	58.0	9.0	23.4186046512	11.3326705286	1007	32451	0.693603
223.37509965896606	32	21.4489795918	10.4022392104	51.0	10.0	21.4489795918	10.4022392104	1051	33502	0.692524
223.60088801383972	33	22.152173913	9.94761800482	58.0	10.0	22.152173913	9.94761800482	1019	34521	0.693267
223.8336284160614	34	23.0	12.6473137644	74.0	12.0	23.0	12.6473137644	1012	35533	0.691814
224.0520567893982	35	20.5918367347	10.2477839662	54.0	9.0	20.5918367347	10.2477839662	1009	36542	0.692729
224.2976953983307	36	19.0566037736	9.05624999309	53.0	8.0	19.0566037736	9.05624999309	1010	37552	0.694084
224.51766800880432	37	22.7111111111	10.563295408	59.0	11.0	22.7111111111	10.563295408	1022	38574	0.692924
224.73488593101501	38	22.1304347826	10.6170672599	61.0	9.0	22.1304347826	10.6170672599	1018	39592	0.693075
224.96917748451233	39	20.5102040816	11.1686924837	66.0	9.0	20.5102040816	11.1686924837	1005	40597	0.69359
278.36601543426514	40	25.8717948718	15.0182444383	80.0	9.0	25.8717948718	15.0182444383	1009	41606	0.692584
278.6111855506897	41	24.6097560976	14.5247946945	78.0	8.0	24.6097560976	14.5247946945	1009	42615	0.692937
278.83704900741577	42	23.0454545455	11.4791402621	61.0	10.0	23.0454545455	11.4791402621	1014	43629	0.692441
279.07408452033997	43	21.3404255319	12.0694384501	63.0	9.0	21.3404255319	12.0694384501	1003	44632	0.693769
279.3178880214691	44	23.0454545455	13.4738037847	78.0	9.0	23.0454545455	13.4738037847	1014	45646	0.692373
279.54298067092896	45	21.4583333333	12.8888814056	64.0	10.0	21.4583333333	12.8888814056	1030	46676	0.692943
279.7898223400116	46	21.1666666667	10.7845053459	54.0	9.0	21.1666666667	10.7845053459	1016	47692	0.69363
280.035005569458	47	22.2666666667	10.3223597647	56.0	9.0	22.2666666667	10.3223597647	1002	48694	0.693179
280.2561287879944	48	22.6666666667	14.6999622071	100.0	9.0	22.6666666667	14.6999622071	1020	49714	0.693082
280.50291752815247	49	20.36	9.93531076514	62.0	10.0	20.36	9.93531076514	1018	50732	0.692969
334.6334993839264	50	23.7674418605	14.052786216	81.0	9.0	23.7674418605	14.052786216	1022	51754	0.693409
334.864111661911	51	22.7727272727	16.1440442668	73.0	9.0	22.7727272727	16.1440442668	1002	52756	0.692161
335.09313583374023	52	25.6	14.0049991075	78.0	10.0	25.6	14.0049991075	1024	53780	0.693141
335.32687759399414	53	22.8181818182	10.994363695	56.0	10.0	22.8181818182	10.994363695	1004	54784	0.692755
335.55078387260437	54	21.2083333333	9.61976769759	50.0	9.0	21.2083333333	9.61976769759	1018	55802	0.693559
335.77415323257446	55	26.075	11.8287520474	74.0	11.0	26.075	11.8287520474	1043	56845	0.692956
336.0000174045563	56	23.3720930233	14.0564034168	77.0	8.0	23.3720930233	14.0564034168	1005	57850	0.693033
336.2439184188843	57	24.6585365854	13.297000865	77.0	12.0	24.6585365854	13.297000865	1011	58861	0.69291
336.5000102519989	58	22.9782608696	10.891738254	60.0	10.0	22.9782608696	10.891738254	1057	59918	0.693107
336.72378420829773	59	23.2790697674	12.4084097165	71.0	11.0	23.2790697674	12.4084097165	1001	60919	0.693002
391.01333355903625	60	23.8604651163	13.7224673952	60.0	9.0	23.8604651163	13.7224673952	1026	61945	0.692992
391.2359013557434	61	22.75	14.1085483436	78.0	9.0	22.75	14.1085483436	1001	62946	0.693181
391.5390145778656	62	20.4	13.3281656652	73.0	8.0	20.4	13.3281656652	1020	63966	0.693063
391.7643027305603	63	26.0256410256	27.463250204	180.0	10.0	26.0256410256	27.463250204	1015	64981	0.69305
391.9920792579651	64	22.9772727273	12.1346398163	68.0	12.0	22.9772727273	12.1346398163	1011	65992	0.693031
392.23987102508545	65	21.3958333333	8.31599759333	43.0	9.0	21.3958333333	8.31599759333	1027	67019	0.693159
392.4659471511841	66	23.9534883721	12.9398491928	65.0	8.0	23.9534883721	12.9398491928	1030	68049	0.692913
392.6875081062317	67	20.8979591837	9.79013434683	56.0	9.0	20.8979591837	9.79013434683	1024	69073	0.69307
392.9371645450592	68	21.4166666667	12.640598175	62.0	9.0	21.4166666667	12.640598175	1028	70101	0.693307
393.1846067905426	69	22.1956521739	11.6630586734	57.0	9.0	22.1956521739	11.6630586734	1021	71122	0.69339
447.88867354393005	70	22.9333333333	11.4627900424	70.0	11.0	22.9333333333	11.4627900424	1032	72154	0.693042
448.1078178882599	71	20.6530612245	10.2907745894	57.0	10.0	20.6530612245	10.2907745894	1012	73166	0.693039
448.33317589759827	72	23.4651162791	11.8485576341	58.0	11.0	23.4651162791	11.8485576341	1009	74175	0.693237
448.5547993183136	73	21.1875	9.97842725166	55.0	8.0	21.1875	9.97842725166	1017	75192	0.693173
448.7989695072174	74	22.3111111111	13.9567940003	70.0	10.0	22.3111111111	13.9567940003	1004	76196	0.69317
449.0226962566376	75	21.1458333333	9.01616507385	47.0	10.0	21.1458333333	9.01616507385	1015	77211	0.692845
449.23828506469727	76	23.2790697674	15.1171019454	80.0	10.0	23.2790697674	15.1171019454	1001	78212	0.693311
449.4541401863098	77	23.3488372093	15.1440889089	101.0	10.0	23.3488372093	15.1440889089	1004	79216	0.6934
449.67335319519043	78	22.6888888889	11.6882129082	69.0	10.0	22.6888888889	11.6882129082	1021	80237	0.693293
449.90824031829834	79	21.0	10.3501207722	60.0	9.0	21.0	10.3501207722	1008	81245	0.693221
503.32378458976746	80	21.0416666667	11.3136317727	79.0	8.0	21.0416666667	11.3136317727	1010	82255	0.693108
503.55346632003784	81	21.6875	13.0162658656	69.0	9.0	21.6875	13.0162658656	1041	83296	0.693163
503.79913544654846	82	22.7954545455	12.2911267799	54.0	9.0	22.7954545455	12.2911267799	1003	84299	0.693337
504.04908561706543	83	23.8837209302	12.0526158549	63.0	9.0	23.8837209302	12.0526158549	1027	85326	0.69303
504.2726457118988	84	20.3	10.1749692874	61.0	8.0	20.3	10.1749692874	1015	86341	0.693201
504.51755452156067	85	24.487804878	11.567662983	56.0	9.0	24.487804878	11.567662983	1004	87345	0.693163
504.7332582473755	86	23.4418604651	11.783516918	58.0	10.0	23.4418604651	11.783516918	1008	88353	0.693108
504.97065925598145	87	20.9791666667	9.68566290825	42.0	10.0	20.9791666667	9.68566290825	1007	89360	0.693192
505.2098445892334	88	24.4390243902	12.417628658	59.0	9.0	24.4390243902	12.417628658	1002	90362	0.693261
505.45469093322754	89	22.8181818182	14.3246017353	89.0	9.0	22.8181818182	14.3246017353	1004	91366	0.693023
558.5849180221558	90	18.9245283019	10.0053741344	70.0	9.0	18.9245283019	10.0053741344	1003	92369	0.693085
558.8262078762054	91	25.7948717949	15.0421279986	65.0	10.0	25.7948717949	15.0421279986	1006	93375	0.693199
559.060711145401	92	21.9347826087	10.2922557926	49.0	11.0	21.9347826087	10.2922557926	1009	94384	0.693142
559.2940533161163	93	22.4666666667	11.7409066468	66.0	8.0	22.4666666667	11.7409066468	1011	95395	0.693104
559.5321333408356	94	22.9318181818	10.4542243034	52.0	10.0	22.9318181818	10.4542243034	1009	96404	0.693072
559.7510147094727	95	23.0	14.0291903479	86.0	9.0	23.0	14.0291903479	1012	97416	0.693152
559.9876420497894	96	23.1136363636	14.3514584452	70.0	11.0	23.1136363636	14.3514584452	1017	98433	0.693196
560.2131168842316	97	22.2666666667	11.2178429299	53.0	8.0	22.2666666667	11.2178429299	1002	99435	0.693163
560.4690144062042	98	21.5106382979	9.66870877521	48.0	9.0	21.5106382979	9.66870877521	1011	100446	0.693154
560.6949582099915	99	21.0625	12.226007542	55.0	9.0	21.0625	12.226007542	1011	101457	0.692996
