Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar	loss_
56.83158874511719	0	26.425	13.0209206664	70.0	12.0	26.425	13.0209206664	1057	1057	0.669157
57.14280152320862	1	24.1904761905	10.7929388187	58.0	9.0	24.1904761905	10.7929388187	1016	2073	0.682473
57.3964524269104	2	29.7222222222	17.8879399334	81.0	10.0	29.7222222222	17.8879399334	1070	3143	0.666868
57.62250280380249	3	25.175	13.54600956	77.0	11.0	25.175	13.54600956	1007	4150	0.667667
57.86786437034607	4	30.2	16.892601931	79.0	9.0	30.2	16.892601931	1057	5207	0.659781
58.10320258140564	5	34.5333333333	19.1863377317	79.0	10.0	34.5333333333	19.1863377317	1036	6243	0.667211
58.3325834274292	6	25.7435897436	13.7704960504	86.0	11.0	25.7435897436	13.7704960504	1004	7247	0.670565
58.575772523880005	7	23.488372093	11.4635359069	56.0	9.0	23.488372093	11.4635359069	1010	8257	0.670294
58.81094026565552	8	28.6944444444	18.7258280405	95.0	10.0	28.6944444444	18.7258280405	1033	9290	0.662477
59.05726170539856	9	26.2564102564	14.2877353694	69.0	11.0	26.2564102564	14.2877353694	1024	10314	0.67022
114.37335014343262	10	26.7179487179	16.2952702245	71.0	9.0	26.7179487179	16.2952702245	1042	11356	0.687684
114.61268877983093	11	28.7142857143	15.2457421289	69.0	9.0	28.7142857143	15.2457421289	1005	12361	0.684866
114.82848572731018	12	25.025	14.0222813764	62.0	8.0	25.025	14.0222813764	1001	13362	0.659875
115.04417133331299	13	26.3421052632	13.7463417445	76.0	9.0	26.3421052632	13.7463417445	1001	14363	0.676737
115.28910851478577	14	30.4242424242	20.558903259	93.0	9.0	30.4242424242	20.558903259	1004	15367	0.673822
115.52783203125	15	27.3947368421	16.3442239494	68.0	9.0	27.3947368421	16.3442239494	1041	16408	0.650666
115.76039218902588	16	25.8461538462	12.2903724288	69.0	9.0	25.8461538462	12.2903724288	1008	17416	0.659569
115.98431253433228	17	24.2093023256	12.7362477398	63.0	11.0	24.2093023256	12.7362477398	1041	18457	0.664333
116.22637724876404	18	23.5581395349	12.3444787123	58.0	9.0	23.5581395349	12.3444787123	1013	19470	0.670157
116.46946835517883	19	21.9130434783	11.8208108435	62.0	9.0	21.9130434783	11.8208108435	1008	20478	0.669592
169.65002536773682	20	21.8260869565	13.8223265326	84.0	10.0	21.8260869565	13.8223265326	1004	21482	0.683561
169.89540362358093	21	24.0238095238	11.2831270894	68.0	10.0	24.0238095238	11.2831270894	1009	22491	0.684071
170.17104935646057	22	21.8260869565	9.72067350464	49.0	9.0	21.8260869565	9.72067350464	1004	23495	0.679002
170.40876126289368	23	21.5957446809	8.38859300065	47.0	9.0	21.5957446809	8.38859300065	1015	24510	0.66906
170.628821849823	24	23.3953488372	12.5459889539	62.0	8.0	23.3953488372	12.5459889539	1006	25516	0.679644
170.8502697944641	25	22.0434782609	13.9952733042	82.0	9.0	22.0434782609	13.9952733042	1014	26530	0.694332
171.06946349143982	26	21.8695652174	12.9658559899	80.0	9.0	21.8695652174	12.9658559899	1006	27536	0.688608
171.30233430862427	27	20.26	13.2888073204	94.0	8.0	20.26	13.2888073204	1013	28549	0.687846
171.5244917869568	28	23.9761904762	11.9333228822	57.0	10.0	23.9761904762	11.9333228822	1007	29556	0.681649
171.75223660469055	29	22.4666666667	12.3407185096	65.0	8.0	22.4666666667	12.3407185096	1011	30567	0.676447
225.6980483531952	30	19.9411764706	11.4539346176	60.0	8.0	19.9411764706	11.4539346176	1017	31584	0.693865
225.91436743736267	31	21.3829787234	9.48583084774	51.0	10.0	21.3829787234	9.48583084774	1005	32589	0.659679
226.20961713790894	32	22.3111111111	11.0991936088	60.0	9.0	22.3111111111	11.0991936088	1004	33593	0.681785
