Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar	loss_
54.42775368690491	0	21.5531914894	13.4541119407	75.0	9.0	21.5531914894	13.4541119407	1013	1013	0.693017
54.73135495185852	1	23.6511627907	14.1616641397	75.0	9.0	23.6511627907	14.1616641397	1017	2030	0.693622
54.960312843322754	2	21.6382978723	13.6513198363	91.0	9.0	21.6382978723	13.6513198363	1017	3047	0.693174
55.2042121887207	3	23.488372093	11.5806014485	63.0	11.0	23.488372093	11.5806014485	1010	4057	0.693254
55.45901370048523	4	22.347826087	13.0337644989	76.0	9.0	22.347826087	13.0337644989	1028	5085	0.69304
55.707656383514404	5	24.5609756098	14.2076049379	84.0	8.0	24.5609756098	14.2076049379	1007	6092	0.693207
55.94010853767395	6	19.8269230769	8.52985966574	43.0	10.0	19.8269230769	8.52985966574	1031	7123	0.693242
56.18965768814087	7	22.6222222222	8.90265600541	47.0	9.0	22.6222222222	8.90265600541	1018	8141	0.693182
56.42033386230469	8	20.4693877551	8.54782951521	46.0	10.0	20.4693877551	8.54782951521	1003	9144	0.693125
56.66611909866333	9	22.3333333333	10.7455417112	61.0	9.0	22.3333333333	10.7455417112	1005	10149	0.693114
