Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar	loss_
52.94341039657593	0	18.6666666667	7.45604403103	41.0	9.0	18.6666666667	7.45604403103	1008	1008	15.0014
53.476988792419434	1	20.875	9.89660084743	54.0	10.0	20.875	9.89660084743	1002	2010	17.7097
53.947842597961426	2	25.275	15.9780904679	86.0	9.0	25.275	15.9780904679	1011	3021	24.5085
54.39675831794739	3	23.9302325581	12.7578436409	75.0	9.0	23.9302325581	12.7578436409	1029	4050	21.2781
54.83539867401123	4	22.0217391304	10.9891035565	64.0	10.0	22.0217391304	10.9891035565	1013	5063	19.0436
55.28813552856445	5	19.6274509804	9.72556925964	47.0	8.0	19.6274509804	9.72556925964	1001	6064	16.9381
55.74874830245972	6	18.7037037037	6.15728905484	35.0	11.0	18.7037037037	6.15728905484	1010	7074	14.3632
56.14831495285034	7	28.6	14.7961384924	71.0	10.0	28.6	14.7961384924	1001	8075	25.0426
56.56928372383118	8	20.42	11.0618081705	64.0	9.0	20.42	11.0618081705	1021	9096	18.3277
57.021878242492676	9	21.847826087	9.18403006951	47.0	10.0	21.847826087	9.18403006951	1005	10101	17.8255
112.21888279914856	10	24.6511627907	13.1235341967	73.0	10.0	24.6511627907	13.1235341967	1060	11161	21.837
112.64422631263733	11	26.4871794872	11.5600368087	50.0	8.0	26.4871794872	11.5600368087	1033	12194	21.7853
113.06364607810974	12	22.0434782609	10.6952986863	57.0	9.0	22.0434782609	10.6952986863	1014	13208	18.7951
113.47634863853455	13	21.9347826087	10.7953334804	56.0	9.0	21.9347826087	10.7953334804	1009	14217	18.7769
113.97336483001709	14	27.8611111111	13.6466373102	69.0	10.0	27.8611111111	13.6466373102	1003	15220	23.7942
114.47442269325256	15	27.8378378378	15.2395529365	71.0	10.0	27.8378378378	15.2395529365	1030	16250	24.8502
114.89238429069519	16	25.225	12.8966807745	73.0	12.0	25.225	12.8966807745	1009	17259	21.794
115.2943205833435	17	22.7954545455	14.1671507777	86.0	9.0	22.7954545455	14.1671507777	1003	18262	21.8014
115.7183587551117	18	26.3333333333	17.7667700964	110.0	10.0	26.3333333333	17.7667700964	1027	19289	26.1885
116.13586688041687	19	23.4888888889	13.126093135	61.0	9.0	23.4888888889	13.126093135	1057	20346	20.9814
167.93353986740112	20	24.4146341463	17.7021090238	95.0	9.0	24.4146341463	17.7021090238	1001	21347	25.5225
168.36508011817932	21	29.2285714286	14.1483683346	65.0	11.0	29.2285714286	14.1483683346	1023	22370	24.5867
168.79095816612244	22	23.3255813953	11.2801965393	58.0	10.0	23.3255813953	11.2801965393	1003	23373	19.8451
169.19275760650635	23	26.6578947368	12.892830149	59.0	9.0	26.6578947368	12.892830149	1013	24386	22.3465
169.59692215919495	24	27.0263157895	14.3315750817	63.0	8.0	27.0263157895	14.3315750817	1027	25413	23.3659
169.98975157737732	25	25.275	12.6905230389	54.0	11.0	25.275	12.6905230389	1011	26424	21.4111
170.38093376159668	26	27.8611111111	15.4040989815	73.0	9.0	27.8611111111	15.4040989815	1003	27427	24.5382
170.8085298538208	27	26.325	15.240386314	74.0	10.0	26.325	15.240386314	1053	28480	23.9092
171.20843482017517	28	27.7027027027	19.1450577418	88.0	9.0	27.7027027027	19.1450577418	1025	29505	27.5059
171.64656448364258	29	30.9090909091	18.9550722985	90.0	12.0	30.9090909091	18.9550722985	1020	30525	28.7433
225.28616857528687	30	25.925	15.0605237293	69.0	10.0	25.925	15.0605237293	1037	31562	23.4623
225.7091257572174	31	26.5	13.4570466769	65.0	10.0	26.5	13.4570466769	1007	32569	22.5046
226.1147153377533	32	26.0	14.0819032805	85.0	10.0	26.0	14.0819032805	1040	33609	22.7273
226.52808833122253	33	32.8709677419	22.6626621098	106.0	11.0	32.8709677419	22.6626621098	1019	34628	32.4731
226.99135541915894	34	30.7878787879	22.8946964558	98.0	10.0	30.7878787879	22.8946964558	1016	35644	32.1916
227.42193126678467	35	26.7948717949	15.606013777	83.0	8.0	26.7948717949	15.606013777	1045	36689	23.8836
227.82784700393677	36	27.9444444444	16.3179254612	69.0	9.0	27.9444444444	16.3179254612	1006	37695	25.3412
228.29918360710144	37	28.8571428571	13.773977239	69.0	9.0	28.8571428571	13.773977239	1010	38705	23.911
228.78660774230957	38	31.6363636364	14.2612383793	59.0	10.0	31.6363636364	14.2612383793	1044	39749	25.4018
229.29870104789734	39	29.8823529412	21.2627328024	107.0	10.0	29.8823529412	21.2627328024	1016	40765	30.0983
283.7311089038849	40	31.9090909091	21.8151513047	120.0	10.0	31.9090909091	21.8151513047	1053	41818	31.0201
284.1705904006958	41	28.1666666667	14.058409899	61.0	10.0	28.1666666667	14.058409899	1014	42832	23.5051
284.6508264541626	42	32.40625	17.3796924869	70.0	10.0	32.40625	17.3796924869	1037	43869	28.0075
285.1054983139038	43	25.675	18.6391892259	121.0	12.0	25.675	18.6391892259	1027	44896	26.1387
285.5517678260803	44	33.2580645161	21.5151375697	103.0	10.0	33.2580645161	21.5151375697	1031	45927	31.3445
285.9917938709259	45	29.7647058824	16.345639504	68.0	9.0	29.7647058824	16.345639504	1012	46939	26.1181
