Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
52.241832971572876	0	20.8541666667	9.35634718461	51.0	8.0	20.8541666667	9.35634718461	1001	1001
52.87141442298889	1	19.7450980392	8.7578382534	54.0	9.0	19.7450980392	8.7578382534	1007	2008
53.4444477558136	2	25.775	17.0433088043	90.0	9.0	25.775	17.0433088043	1031	3039
54.02794432640076	3	22.9090909091	12.5785137542	87.0	9.0	22.9090909091	12.5785137542	1008	4047
54.690470695495605	4	21.7021276596	10.6309762039	59.0	10.0	21.7021276596	10.6309762039	1020	5067
55.26074028015137	5	23.4222222222	15.8036407745	93.0	9.0	23.4222222222	15.8036407745	1054	6121
56.01022291183472	6	23.4545454545	13.5687718769	69.0	9.0	23.4545454545	13.5687718769	1032	7153
56.607460498809814	7	27.3243243243	16.1981881771	69.0	10.0	27.3243243243	16.1981881771	1011	8164
57.24498772621155	8	22.2978723404	13.4352899764	68.0	9.0	22.2978723404	13.4352899764	1048	9212
57.83087491989136	9	21.3617021277	11.0903936425	55.0	10.0	21.3617021277	11.0903936425	1004	10216
